Date,Sales
2020-01-01,514.901424590337
2020-01-02,495.96159999005613
2020-01-03,519.6497141934042
2020-01-04,696.0194827678158
2020-01-05,643.4135148590666
2020-01-06,493.52353641748294
2020-01-07,548.0335586163718
2020-01-08,523.789745050929
2020-01-09,486.79200062348485
2020-01-10,517.262562534304
2020-01-11,637.1927594675429
2020-01-12,637.2329266700007
2020-01-13,508.5732164492811
2020-01-14,444.02546998775784
2020-01-15,449.7858713772925
2020-01-16,484.7743095006459
2020-01-17,471.3675307930341
2020-01-18,661.2894134061168
2020-01-19,624.7308001878139
2020-01-20,459.7119404385831
2020-01-21,546.1600435714802
2020-01-22,495.5268205144291
2020-01-23,504.4354846948546
2020-01-24,459.7767219930048
2020-01-25,636.2972148688448
2020-01-26,656.065903321088
2020-01-27,468.3179473323145
2020-01-28,514.2282242305454
2020-01-29,485.0476520078028
2020-01-30,494.42552923676027
2020-01-31,485.2346723888684
2020-02-01,708.9637453162101
2020-02-02,653.1000120639957
2020-02-03,471.8831299626483
2020-02-04,528.4003342196127
2020-02-05,467.208206382578
2020-02-06,510.208952757043
2020-02-07,445.2624702156987
2020-02-08,614.3165214903307
2020-02-09,660.177469058549
2020-02-10,526.5351584075294
2020-02-11,509.63173846855784
2020-02-12,501.1307705864031
2020-02-13,495.6766372155634
2020-02-14,460.46361739741087
2020-02-15,633.3334798817841
2020-02-16,641.2191720300234
2020-02-17,536.8615309705763
2020-02-18,515.5659418962542
2020-02-19,452.4757175735101
2020-02-20,515.1989703414276
2020-02-21,494.033511872286
2020-02-22,635.3878493007883
2020-02-23,674.1553270003848
2020-02-24,536.844553035229
2020-02-25,533.9624999590282
2020-02-26,480.95709971405466
2020-02-27,496.96678316038907
2020-02-28,516.2905864032241
2020-02-29,685.7285662999797
2020-03-01,642.1965143761417
2020-03-02,501.1115012367777
2020-03-03,473.600750341703
2020-03-04,471.01412986465544
2020-03-05,531.3856322840932
2020-03-06,547.8065874945836
2020-03-07,655.0686120152405
2020-03-08,687.444431624603
2020-03-09,518.2970544644629
2020-03-10,488.20391010007194
2020-03-11,518.5088999286697
2020-03-12,553.9176577825881
2020-03-13,506.8113086405021
2020-03-14,704.9349285134126
2020-03-15,579.5127947414917
2020-03-16,532.8717520206325
2020-03-17,510.93561796171247
2020-03-18,499.46351442578305
2020-03-19,511.29608726101577
2020-03-20,449.02572555211566
2020-03-21,652.1721653802088
2020-03-22,669.5852281858781
2020-03-23,553.3182014079629
2020-03-24,493.54280254269963
2020-03-25,484.94563002930516
2020-03-26,494.25725583375635
2020-03-27,536.8815596975463
2020-03-28,669.3915584814664
2020-03-29,643.7457481038564
2020-03-30,525.1461062354598
2020-03-31,512.7699387476921
2020-04-01,539.0264910084292
2020-04-02,489.0150775013136
2020-04-03,500.3563349448928
2020-04-04,648.5324837740528
2020-04-05,616.4998089492457
2020-04-06,519.3983947303382
2020-04-07,518.4559736089892
2020-04-08,510.8872481680581
2020-04-09,503.8057594927215
2020-04-10,468.49178025765514
2020-04-11,648.4430718613985
2020-04-12,650.8905250737479
2020-04-13,487.21317151809404
2020-04-14,506.55244726995403
2020-04-15,523.6220733495621
2020-04-16,568.1956537066336
2020-04-17,516.9569400804645
2020-04-18,669.5556464423839
2020-04-19,659.7052862729076
2020-04-20,454.4850563121131
2020-04-21,511.36230553279955
2020-04-22,514.0741571196985
2020-04-23,586.2740432212179
2020-04-24,506.7154799284174
2020-04-25,671.6422581670512
2020-04-26,661.6640138310771
2020-04-27,477.7545548188401
2020-04-28,547.2091094080683
2020-04-29,535.5919449784127
2020-04-30,536.8744414342925
2020-05-01,485.9713884043506
2020-05-02,705.4463704014674
2020-05-03,621.4165382148076
2020-05-04,531.1873119377759
2020-05-05,579.4047969232588
2020-05-06,484.08456742023054
2020-05-07,496.92125431125964
2020-05-08,517.0092561771637
2020-05-09,649.0249746262402
2020-05-10,617.7188703429339
2020-05-11,516.4051915442903
2020-05-12,482.58871991351805
2020-05-13,528.7751332695483
2020-05-14,487.0941623486705
2020-05-15,561.2844505514024
2020-05-16,641.3983486559807
2020-05-17,655.3436309650893
2020-05-18,539.5205219975414
2020-05-19,478.29860500862424
2020-05-20,522.1578615649585
2020-05-21,554.6578751804991
2020-05-22,467.32862454038116
2020-05-23,671.2016663583787
2020-05-24,673.568663455054
2020-05-25,539.3363948061124
2020-05-26,478.8827163516423
2020-05-27,476.487068310648
2020-05-28,531.8685426968749
2020-05-29,525.2293649505554
2020-05-30,673.9441392891277
2020-05-31,676.9323290888523
2020-06-01,596.24767018178
2020-06-02,623.7255517691565
2020-06-03,625.6596440784785
2020-06-04,595.5464563639187
2020-06-05,673.0597632642441
2020-06-06,781.4110445824467
2020-06-07,731.5664810642054
2020-06-08,637.1117232644913
2020-06-09,588.2841939238485
2020-06-10,641.2467111681334
2020-06-11,652.5015694512736
2020-06-12,593.2327615556918
2020-06-13,796.8640440087645
2020-06-14,780.4557169647214
2020-06-15,642.8436229816529
2020-06-16,675.1951366866283
2020-06-17,611.0392327521155
2020-06-18,595.8983203266686
2020-06-19,591.9345013938191
2020-06-20,744.2551547588134
2020-06-21,766.5259410505452
2020-06-22,629.1830806026593
2020-06-23,627.3587743632521
2020-06-24,643.9830768796239
2020-06-25,619.6671651900722
2020-06-26,662.9926597736462
2020-06-27,761.5564614869795
2020-06-28,851.2107705069985
2020-06-29,638.4852449674519
2020-06-30,594.1100268672049
2020-07-01,587.8075076430516
2020-07-02,634.5179840673723
2020-07-03,613.4494570754929
2020-07-04,791.6828844832228
2020-07-05,784.569527422858
2020-07-06,618.2970603311372
2020-07-07,595.1876451939829
2020-07-08,575.2555690206508
2020-07-09,607.4150662244077
2020-07-10,646.6120076413142
2020-07-11,777.4523851607079
2020-07-12,733.7669385006338
2020-07-13,626.4440586627205
2020-07-14,632.9176813042419
2020-07-15,594.9519658515345
2020-07-16,626.188971141126
2020-07-17,623.4330085413318
2020-07-18,737.5071670782248
2020-07-19,782.6394258487837
2020-07-20,638.8388698545738
2020-07-21,654.6164003839768
2020-07-22,653.8484536749572
2020-07-23,581.0138401003892
2020-07-24,594.3186989668397
2020-07-25,788.014037205745
2020-07-26,788.0860867420431
2020-07-27,638.23346782905
2020-07-28,738.4735109847019
2020-07-29,640.1278106110469
2020-07-30,657.1775935208616
2020-07-31,651.8402062454313
2020-08-01,792.8714199050008
2020-08-02,763.9811340518082
2020-08-03,646.3178170310083
2020-08-04,600.4735130052749
2020-08-05,616.6632402643934
2020-08-06,609.3164210569122
2020-08-07,626.4430806985667
2020-08-08,843.536142542374
2020-08-09,718.1879587896078
2020-08-10,644.9032493037874
2020-08-11,576.0434964820541
2020-08-12,610.3765456692524
2020-08-13,657.312548577148
2020-08-14,626.6819602661826
2020-08-15,742.5307453806313
2020-08-16,753.5135064659031
2020-08-17,645.470079236934
2020-08-18,603.2806768425713
2020-08-19,631.7949625067364
2020-08-20,626.7778890415832
2020-08-21,605.9722524414859
2020-08-22,839.948114574612
2020-08-23,794.7568915895841
2020-08-24,565.0945723455073
